GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commercial_destroyed,Residential_damaged,Commercial_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Removal_reason,Certainty
R1,1915,1915,NA,NA,Balthar,Balthar,G074464E36458N,,ephemeral,36.465,74.348,3220,NA,NA,NA,NA,Ice Dammed,N,N,,,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bazai et al., 2021",,Only a surge,0
R2,1976,1976,NA,NA,Khurdopin ,Khurdopin ,G075438E36192N,,ephemeral,36.344239,75.474953,3482,NA,NA,NA,NA,Ice Dammed,N,Y,,,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iturrizaga, 2005",,No evidence anywhere else,0
R3,1993,1993,NA,NA,Chateboi,Chateboi,G073888E36780N,,G073888E36780N,36.84573,73.89904,3680,NA,NA,NA,NA,Ice Dammed,N,Y,,,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iturrizaga, 2005",,No definite evidence,1
R4,1929,1929,NA,NA,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bazai et al., 2021",,Not found in the original source of Desio (1930). Possibly just a lake.,1
R5,1963,1963,9,16,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Wrong inclusion in that paper, can not be found anywhere else",0
R6,1966,1966,7,29,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
R7,1970,1970,5,23,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
R8,1979,1979,8,30,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
R9,2004,2004,9,20,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
R10,2006,2006,8,2,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
R11,1995,1995,5,26,Xiaga,Unnamed,GL091937E28802N,,G091954E28799N,28.802084,91.937805,5212,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,Nedong,unknown,ice avalanche,unknown,,81000000,,,,,,,,,,,,,,,,,,,,,,,,,"Nie et al (2018), Veh et al. (2019)",,Both Nie et al. (2018) and Zheng et al. (2021) find it doubtful that an event happened here. Imagery confirms that there are no traces.,0
R12,Before 1966,NA,NA,NA,Huang Tsho,Unnamed,GL090070E28267N,,G090036E28191N,28.270531,90.070358,5150,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,Nianchu,unknown,ice calving,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Komori et al (2012),,"Zheng et al (2021) note this as doubtful, imagery confirms that there are no traces.",0
R13,2007-2008,NA,NA,NA,Sangwang Co East,Unnamed,GL090226E28278N,,G090264E28200N,28.28,90.23,5308,NA,NA,NA,NA,Moraine Dammed,Y,N,,,China,TAR,Nianchu,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhang et al. (2021),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
R14,2007-2008,NA,NA,NA,Sangwang Co East,Unnamed,GL090226E28278N,,G090264E28200N,28.28,90.23,5302,NA,NA,NA,NA,Moraine Dammed,,,,,Bhutan,,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Veh et al. (2019),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
R15,1993-1994,NA,NA,NA,Unnamed,Unnamed,GL082140E30340N,,G082133E30325N,30.34,82.14,5597,NA,NA,NA,NA,Moraine Dammed,Y,N,,,China,TAR,Maquan,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Veh et al. (2019),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
R16,NA,NA,NA,NA,Unknown (Mustang),Unknown,GL083701E29218N,,G083677E29190N,29.220556,83.7025,5435,NA,NA,NA,NA,Moraine dammed,N,N,,,Nepal,Sudurpashchim,Kaligandaki,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,Ives et al. (2010),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
R17,NA,NA,NA,NA,Unknown (Mustang),Unknown,GL083739E29117N,,G083701E29131N,29.116999,83.738459,5523,NA,NA,NA,NA,Moraine dammed,N,N,,,Nepal,Sudurpashchim,Kaligandaki,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,Ives et al. (2010),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
R18,1997-1999,NA,NA,NA,Unnamed,Unnamed,No lake ,,no glacier,27.9,90.42,5130,NA,NA,NA,NA,Unknown,,,,,Bhutan,,Mangdechu,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Veh et al. (2019),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
R19,2003,2003,8,15,Kabache,Kabache,GL084115E28449N,,G084129E28507N,28.447067,84.116904,2468,NA,NA,NA,NA,Moraine dammed,N,Y,,,Nepal,Gandaki,Madi,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Ives, Shrestha and Mool, 2010; ICIMOD, 2011; Nie et al., 2018)",,Zheng et al. (2021) and Nie (2018) argue that the location is wrong and the actual location points to an avalanche rather than a GLOF,0
R20,2004,2004,8,8,Kabache ,Kabache,GL084115E28449N,,G084129E28507N,28.447067,84.116904,2468,NA,NA,NA,NA,Moraine dammed,N,Y,,,Nepal,Gandaki,Madi,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Ives, Shrestha and Mool, 2010; ICIMOD, 2011; Nie et al., 2018)",,Zheng et al. (2021) and Nie (2018) argue that the location is wrong and the actual location points to an avalanche rather than a GLOF,0
R22,1998-1999,NA,NA,NA,No lake,no glacier,No lake,,no glacier,27.96,86.78,5003,NA,NA,NA,NA,Unknown,,N,,,Nepal,Province No. 1,Dudhkoshi,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2019)",,Unclear geomorphological evidence,1
R23,NA,NA,NA,NA,Unnamed,Unnamed,No lake,,no glacier,29.782404,88.308976,5672,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,Yarlung Zangbo,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R24,NA,NA,NA,NA,Unnamed,Unnamed,GL093065E29685N,,G093058E29674N,29.684598,93.064728,4989,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,Nyang,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R25,NA,NA,NA,NA,NA,NA,No lake,,no glacier,30.388023,95.904292,5017,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R26,NA,NA,NA,NA,NA,NA,No lake,,no glacier,31.421333,95.417898,4901,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R27,1992,1992,NA,NA,NA,NA,NA,,NA,29.7467,96.5387,5120,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2019)",,Unclear geomorphological evidence; likely just misplaced coordinates,1
R28,NA,NA,NA,NA,NA,NA,NA,,NA,30.050526,95.399079,4253,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R29,NA,NA,NA,NA,NA,NA,NA,,NA,29.694776,96.428304,4593,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R30,NA,NA,NA,NA,NA,NA,NA,,NA,28.818134,97.867785,4879,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,"Unclear evidence, no glaciers",1
R31,NA,NA,NA,NA,NA,NA,NA,,NA,28.22655,90.257076,5510,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R32,NA,NA,NA,NA,NA,NA,NA,,NA,28.239613,89.963088,5512,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R33,NA,NA,NA,NA,NA,NA,NA,,NA,28.454151,90.621744,5281,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R34,NA,NA,NA,NA,NA,NA,NA,,NA,30.567964,80.462738,5428,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R35,NA,NA,NA,NA,NA,NA,NA,,NA,28.000963,88.327963,5305,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R36,NA,NA,NA,NA,NA,NA,NA,,NA,36.581683,91.088256,5199,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Zheng et al. 2021),,Unclear geomorphological evidence,1
R37,2009,2009,NA,NA,Garm-chashma,Unnamed,GL071635E37093N,"2, 3",G071634E37088N,37.094258,71.636755,4417,NA,NA,NA,NA,Moraine dammed,N,N,PA,,Tajikistan,Gorno-Badakhshan,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,+,,,,,,+,,,"(Schneider et al., 2010)",,,1
R38,2013,2013,7,31,Reshun,Reshun,ephemeral,NA,G072246E36131N,36.13,72.215,3914,36.158,72.096,1842,Observation,Supraglacial,Y,Y,14-01,8,Pakistan,Khyber Pakhtunkhwa,Chitral,unknown,high temperatures,unknown,, , , ,,2,1,1,,,,, ,,,,,30,40,20,,,"1 vehicle & 2 Pedestrian Bridges, orchards and standing crop affected",,"Tansmission lines & channel of the hydle power station, three irrigation channels, potable water supply schemes",,,https://www.thethirdpole.net/2013/08/29/flash-floods-chitral/; https://www.chitraltoday.net/2013/08/glacier-lake-outburst-floods-in-reshun/,"Debris flow and not a GLOF, according to geomorphological evidence.",0
R39,2015,2015,7,NA,Reshun,Reshun,ephemeral,NA,G072246E36131N,36.13,72.215,3914,36.158,72.096,1842,Observation,Supraglacial,Y,Y,14-01,8,Pakistan,Khyber Pakhtunkhwa,Chitral,unknown,unknown,unknown,, , , , , , , , ,,,, ,,,,, , , ,,, , , , ,,https://www.thethirdpole.net/en/climate/glacier-floods-cause-humanitarian-crisis-in-chitral/,,0
R40,1927,1927,8,8,No 2,Ortalyk Tuyksu,NA,NA,NA,43.066034,77.082339,3375,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Kishi Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R41,1938,1938,7,20,Unnamed,Tuyksu,NA,NA,NA,43.05,77.08,3640,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Kishi Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R42,1944,1944,7,30,Unnamed,Partizan (No9),NA,NA,NA,43.031608,77.06583,3840,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Kishi Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R43,1944,1944,8,18,Unnamed,Tuyksu,NA,NA,NA,43.05,77.08,3640,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Kishi Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R44,1951,1951,8,20,No 2,Ortalyk Tuyksu,NA,NA,NA,43.066034,77.082339,3375,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Kishi Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R45,1952,1952,8,16,Teketor,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Teketor,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,Missing cordinates; difficult to verify,1
R46,1953,1953,9,4,No 50,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,Evidence only for mudflow,1
R47,1956,1956,7,15,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kyrgyzstan,,Chon-Aksy,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,Evidence only for mudflow; no coordinates,1
R48,1957,1957,9,7,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R49,1958,1958,11,24,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R50,1959,1959,7,16,No 50,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,Evidence only for mudflow,1
R51,1959,1959,9,4,No 50,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,Evidence only for mudflow,1
R52,1959,1959,9,19,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R53,1960,1960,6,30,Unknown,Unknown,NA,NA,NA,43.1706,77.2952,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R54,1961,1961,7,16,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R55,1961,1961,7,26,Unknown,Unknown,NA,NA,NA,43.1706,77.2952,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R56,1961,1961,8,19,Unknown,Unknown,NA,NA,NA,43.1706,77.2952,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R57,1963,1963,6,6,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R58,1964,1964,7,25,Unknown,Unknown,NA,NA,NA,43.1706,77.2952,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R59,1965,1965,7,15,Unknown,Karakia,NA,NA,NA,43,77.4,NA,NA,NA,NA,NA,NA,NA,NA,,,Kazakhstan,,Chilik,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R60,1965,1965,7,21,No 50,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,N,N,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,Evidence only for mudflow,1
R61,1965,1965,7,25,Unknown,Kalesnika,NA,NA,NA,43.015923,77.114213,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
R62,1965,1965,7,30,Unknown,Karakia,NA,NA,NA,43,77.4,NA,NA,NA,NA,NA,NA,NA,NA,,,Kazakhstan,,Chilik,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'",1
